Color,Material,Scan,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20
e,Dec,46,144.48,617.52,1907.32,193.18,997.65,577.95,64.25,136.45,399.26,142.3,137.23,31.53,58.49,31.38,86.07,142.82,38.31,29.9,BlackASA,BlackASA
e,Dec,47,122.0,288.0,2037.0,220.0,1278.0,814.0,112.0,247.0,331.0,298.0,133.0,68.0,72.0,38.0,95.0,127.0,60.0,32.0,BlackASA,BlackASA
e,Dec,48,224.11,623.35,1899.83,191.42,989.06,575.11,102.11,187.27,928.78,187.67,179.53,34.78,66.61,37.99,113.24,105.71,40.86,30.84,BlackASA,BlackASA
e,Dec,49,205.0,297.0,2029.0,218.0,1267.0,810.0,178.0,339.0,770.0,393.0,174.0,75.0,82.0,46.0,125.0,94.0,64.0,33.0,BlackASA,BlackASA
e,Dec,50,142.02,613.64,1897.96,191.42,992.18,573.69,94.08,175.67,406.49,140.39,137.23,33.85,55.24,31.38,86.07,141.69,38.31,30.84,BlackASA,BlackASA
e,Dec,51,170.0,291.0,2027.0,218.0,1271.0,808.0,164.0,318.0,337.0,294.0,133.0,73.0,68.0,38.0,95.0,126.0,60.0,33.0,BlackASA,BlackASA
e,Dec,52,302.1,628.2,1890.47,189.66,985.16,569.43,105.55,192.79,1005.98,197.69,221.84,34.78,67.42,38.81,143.14,95.59,40.86,30.84,BlackASA,BlackASA
e,Dec,53,238.0,296.0,2019.0,216.0,1262.0,802.0,184.0,349.0,834.0,414.0,215.0,75.0,83.0,47.0,158.0,85.0,64.0,33.0,BlackASA,BlackASA
e,Dec,54,361.2,628.2,1886.72,182.64,979.69,549.55,106.13,191.14,1238.78,200.56,240.41,34.32,77.17,42.11,151.29,101.21,41.5,30.84,BlackASA,BlackASA
e,Dec,55,308.0,289.0,2015.0,208.0,1255.0,774.0,185.0,346.0,1027.0,420.0,233.0,74.0,95.0,51.0,167.0,90.0,65.0,33.0,BlackASA,BlackASA
e,Dec,56,339.04,627.23,1889.53,183.52,981.26,552.39,107.85,193.35,1276.17,201.04,241.44,34.32,78.8,41.29,144.95,101.21,41.5,30.84,BlackASA,BlackASA
